rank,score,name,cid,aliases
1,0.732261061668396,Gandalf The Lego Movie Franchise,QmRqsHwueA9W4YrdiaWizoCdNbCehjKiy5REdxYdW6HcHF,Gandalf The Lego Movie Franchise
2,0.7074869871139526,Gandalf The Hobbit 1977,QmWnwv9ULufsJBKXfLpYGGmYQTdsuw2p7GGxG3oGyRybS1,Gandalf The Hobbit 1977
3,0.6984432935714722,Gandalf Lord of The Rings The Hobbit,QmV4ugxNVnGXXaB7Pi7kqisuRDErMd22bMQ4jR22Q5yt6s,Gandalf Lord of The Rings The Hobbit
4,0.676318347454071,Gandalf The Grey The Lord of The Rings Film Trilogy,QmRhqE3gXVGmRQJEtH961drQjTi8VWRY4WWfEdt4V1JpFE,Gandalf The Grey The Lord of The Rings Film Trilogy
5,0.6701679229736328,Gandalf The Lord of The Rings The Rings of Power 2022,QmQEuaero4dBYGJHtp2PUm638Q78Xp55jErsy5PmoyYyvA,Gandalf The Lord of The Rings The Rings of Power 2022
6,0.6641044616699219,Gandalf The White The Lord of The Rings Film Trilogy,QmT8EsqMU1kxszTKeA5UW141x5Cb8hthpKDVV6J8J9nrQB,Gandalf The White The Lord of The Rings Film Trilogy
7,0.6607958078384399,Holy Gandalf,QmUZFnheC2mCfSq3nRzJR8Er42GYzPizo7wDqYjZWrRqLF,Holy Gandalf
8,0.6556658744812012,Gandalf The Mad Thorgal 1997,QmbRg9aoXfF7ZscdW8t2181Rn6E7xRbfCSFrd9PqKrPSqt,Gandalf The Mad Thorgal 1997
9,0.626190185546875,Gandalf The Grey The Wizard The Lord of The Rings Gollum,QmNrCGrDULuveGbaUsVSgDBipb7AJwvfmHnB2iTFuVZM3Q,Gandalf The Grey The Wizard The Lord of The Rings Gollum
10,0.6184388399124146,Then Gandalf The Grey And Gandalf The White Memes Online,QmW2theQ6uuyUjtxR4Aq8h5ShhekjsuPyDByxkze2amrJx,Then Gandalf The Grey And Gandalf The White Memes Online
11,0.5643318891525269,Akma Gandalf Recep Vedik Trilogy,Qmcrn9mXkjkptaA2mrQbK5iza73iXEkNX1xmnFeajfdJC8,Akma Gandalf Recep Vedik Trilogy
